customer_id;age;gender;job;marital;education;housing;loan;month;deposit;duration;poutcome;y
000125;56;M;broker;married;basic.4y;no;no;july; $1 200,00 ;261;nonexistent;yes
000126;57;M;services;married;high.school;no;no;july; $890,00 ;149;nonexistent;yes
000127;37;M;services;married;high.school;yes;no;july; $1 300,00 ;226;nonexistent;yes
000128;40;M;admin.;married;basic.6y;no;no;july; $2 800,00 ;151;failure;yes
000129;56;F;services;married;high.school;no;yes;july; $1 700,00 ;307;failure;yes
000130;45;M;services;married;basic.9y;no;no;july; $1 200,00 ;198;nonexistent;yes
000131;59;F;admin.;married;professional.course;no;no;july; $1 600,00 ;139;nonexistent;yes
000132;41;M;blue-collar;married;unknown;no;no;july; $1 780,00 ;217;nonexistent;yes
000133;24;M;technician;single;professional.course;yes;no;july; $5 200,00 ;380;nonexistent;yes
000134;25;Male;services;single;high.school;yes;no;july; $6 200,00 ;50;failure;yes
000135;41;F;blue-collar;married;unknown;no;no;july; $7 600,00 ;55;nonexistent;yes
000136;25;F;services;single;high.school;yes;no;july; $1 200,00 ;222;nonexistent;yes
000137;29;M;blue-collar;single;high.school;no;yes;july; $990,00 ;137;success;yes
000138;57;F;broker;divorced;basic.4y;yes;no;july; $1 320,00 ;293;success;yes
000139;35;M;blue-collar;married;basic.6y;yes;no;july; $2 800,00 ;146;success;yes
000140;54;Female;retired;married;basic.9y;yes;yes;july; $4 750,00 ;174;nonexistent;yes
000141;35;M;blue-collar;married;basic.6y;yes;no;july; $1 200,00 ;312;nonexistent;yes
000142;46;M;blue-collar;married;basic.6y;yes;yes;july; $1 600,00 ;440;failure;yes
000143;50;M;blue-collar;married;basic.9y;yes;yes;july; $1 790,00 ;353;failure;yes
000144;39;F;management;single;basic.9y;no;no;july; $5 200,00 ;195;failure;yes
000145;30;F;unemployed;married;high.school;no;no;july; $6 200,00 ;38;failure;yes
000146;55;M;blue-collar;married;basic.4y;yes;no;july; $7 600,00 ;262;failure;yes
000147;55;M;retired;single;high.school;yes;no;july; $200,00 ;342;failure;yes
000148;41;M;technician;single;high.school;yes;no;july; $890,00 ;181;failure;yes
000149;37;M;admin.;married;high.school;yes;no;july; $1 300,00 ;172;nonexistent;yes
000150;35;M;technician;married;university.degree;no;yes;july; $800,00 ;99;nonexistent;yes
000151;59;F;technician;married;unknown;yes;no;july; $1 700,00 ;93;nonexistent;yes
000152;39;F;self-employed;married;basic.9y;no;no;july; $1 200,00 ;233;nonexistent;yes
000153;54;M;technician;single;university.degree;no;no;july; $3 600,00 ;255;nonexistent;yes
000154;55;M;unknown;married;university.degree;unknown;unknown;july; $1 780,00 ;362;failure;yes
000155;46;M;admin.;married;unknown;no;no;july; $5 200,00 ;348;failure;yes
000156;59;M;technician;married;unknown;yes;no;july; $8 200,00 ;386;failure;yes
000157;49;F;blue-collar;married;unknown;no;no;july; $7 600,00 ;73;failure;yes
000158;54;M;management;married;basic.4y;yes;no;july; $990,00 ;230;failure;yes
000159;54;M;blue-collar;divorced;basic.4y;no;no;july; $1 320,00 ;208;failure;yes
000160;55;Female;unknown;married;basic.4y;yes;no;july; $2 900,00 ;336;nonexistent;yes
000161;34;M;services;married;high.school;no;no;August; $4 750,00 ;365;nonexistent;yes
000162;52;F;technician;married;basic.9y;yes;no;August; $1 200,00 ;1666;nonexistent;yes
000163;41;Male;admin.;married;university.degree;yes;no;August; $1 500,00 ;577;nonexistent;yes
000164;56;Male;technician;married;basic.4y;yes;no;August; $790,00 ;137;nonexistent;yes
000165;58;Male;management;unknown;university.degree;yes;no;August; $5 200,00 ;366;nonexistent;yes
000166;32;F;entrepreneur;married;high.school;yes;no;August; $6 200,00 ;314;failure;yes
000167;38;F;admin.;single;professional.course;no;no;August; $7 600,00 ;160;failure;yes
000168;57;M;admin.;married;university.degree;no;yes;August; $200,00 ;212;failure;yes
000169;44;F;admin.;married;university.degree;yes;no;August; $890,00 ;188;failure;yes
000170;42;M;technician;single;professional.course;no;no;August; $1 300,00 ;22;failure;yes
000171;57;F;admin.;married;university.degree;yes;yes;August; $800,00 ;616;failure;yes
000172;40;Male;blue-collar;married;basic.9y;no;yes;August; $80 000,00 ;178;failure;yes
000173;35;Male;admin.;married;university.degree;yes;no;August; $200,00 ;355;failure;yes
000174;45;Male;blue-collar;married;basic.9y;yes;no;August; $3 600,00 ;225;failure;yes
000175;54;F;admin.;married;high.school;no;no;September; $1 780,00 ;160;failure;yes
000176;39;F;broker;married;basic.4y;no;yes;September; $5 000,00 ;266;failure;yes
000177;60;M;admin.;married;high.school;no;no;September; $8 000,00 ;253;failure;yes
000178;53;M;admin.;single;professional.course;no;no;September; $700,00 ;179;failure;yes
000179;55;M;blue-collar;married;basic.4y;no;no;September; $5 200,00 ;269;nonexistent;yes
000180;55;M;technician;married;professional.course;yes;no;September; $9 890,00 ;135;nonexistent;yes
000181;50;M;management;married;university.degree;no;yes;September; $10 000,00 ;161;nonexistent;yes
000182;45;F;services;married;high.school;yes;no;September; $12 800,00 ;787;nonexistent;yes
000183;55;F;unemployed;married;professional.course;yes;yes;September; $1 700,00 ;145;nonexistent;yes
000184;25;M;technician;single;university.degree;yes;no;September; $1 200,00 ;174;nonexistent;yes
000185;47;F;entrepreneur;married;university.degree;no;no;September; $1 600,00 ;449;nonexistent;yes
000186;51;M;blue-collar;married;basic.9y;yes;no;September; $1 780,00 ;812;nonexistent;yes
000187;42;F;blue-collar;married;basic.6y;yes;no;September; $5 200,00 ;164;nonexistent;yes
000188;42;M;blue-collar;married;basic.6y;no;no;September; $6 200,00 ;366;nonexistent;yes
000189;48;M;admin.;married;high.school;no;no;September; $7 600,00 ;357;nonexistent;yes
000190;37;M;admin.;married;university.degree;no;no;September; $1 200,00 ;232;nonexistent;yes
000191;44;F;blue-collar;single;basic.9y;yes;no;September; $990,00 ;91;nonexistent;yes
000192;33;F;admin.;married;unknown;yes;no;September; $1 320,00 ;273;nonexistent;yes
000193;56;M;admin.;married;basic.9y;yes;no;September; $2 800,00 ;158;nonexistent;yes
